user_id,program_id,rating
157,144,1
33,70,2
36,119,2
124,63,5
114,135,2
28,43,5
103,127,2
99,108,5
108,58,4
74,135,2
137,108,4
149,34,5
94,123,2
98,11,5
185,17,1
37,71,2
130,123,4
36,94,4
155,7,3
12,84,1
129,61,5
54,145,1
31,35,2
111,91,5
137,49,5
5,111,1
196,135,1
144,47,3
14,5,3
58,136,2
158,40,1
18,13,2
133,119,3
9,54,1
75,7,1
69,43,1
117,115,5
84,91,2
16,64,4
134,81,2
171,6,5
122,36,1
141,59,1
79,74,4
162,63,5
151,92,4
30,16,4
43,22,1
124,117,4
159,1,3
105,66,5
42,67,2
139,15,5
82,60,2
108,21,1
16,132,2
136,114,4
179,131,4
145,108,4
74,123,1
104,134,2
89,112,1
179,56,1
67,52,1
30,72,5
148,106,5
27,58,2
142,107,1
56,6,3
133,137,2
179,44,2
66,142,1
155,49,3
36,18,2
164,76,3
11,96,1
55,126,2
33,47,4
197,18,5
66,68,2
199,141,5
36,19,3
149,80,5
20,110,3
162,102,1
35,43,3
73,36,4
189,92,5
11,135,5
199,106,2
184,139,1
141,50,3
67,127,1
184,103,1
192,74,5
40,29,1
143,142,1
116,68,3
47,71,1
158,63,4
74,64,2
154,85,2
175,105,4
196,48,1
4,107,2
174,108,1
34,38,2
133,20,2
125,56,5
129,21,1
106,18,3
137,30,2
101,4,3
148,71,3
13,101,3
110,25,2
121,124,2
54,90,3
24,46,5
175,118,3
73,10,1
161,125,1
45,35,4
138,44,5
69,133,1
91,55,5
136,133,4
56,67,1
71,80,4
24,104,5
70,110,5
44,53,5
82,129,4
126,29,5
184,145,5
32,45,3
167,78,2
155,41,4
39,51,4
87,53,4
106,73,5
36,111,5
11,137,3
193,85,3
163,81,2
92,54,2
77,75,3
188,62,2
81,129,3
131,34,3
134,47,2
169,83,3
86,103,3
24,136,5
170,70,4
172,69,3
199,78,5
51,42,4
44,93,2
165,132,5
191,34,1
34,39,4
188,72,2
141,36,2
168,106,2
182,92,3
100,113,5
188,125,3
135,141,4
40,125,5
31,30,4
139,124,4
117,41,5
82,3,5
116,42,2
80,140,1
65,113,1
126,3,4
25,77,3
20,114,1
194,101,5
81,20,4
61,129,4
193,91,2
198,54,5
43,9,5
149,104,1
133,108,5
84,136,3
120,140,5
133,127,3
124,121,5
99,18,3
84,69,1
149,103,3
198,127,5
136,67,1
174,13,5
100,114,1
63,100,4
155,48,4
84,77,2
81,74,5
113,72,3
164,75,4
35,143,4
41,31,3
191,25,3
190,35,4
134,98,5
47,42,2
47,83,4
160,142,3
39,84,2
49,136,1
18,77,1
128,3,2
130,67,4
31,111,5
157,136,2
93,35,2
104,138,3
96,12,1
133,61,1
